ts,GC=F,GLD,IEF,TLT,TIP,SHY,BIL,UUP,EURUSD=X,JPY=X,CNY=X,CL=F,HG=F,DBC,ES=F,NQ=F,RTY=F,BTC-USD,HYG,JNK,LQD,^VIX,^VVIX,^MOVE,FXI,KWEB,EWJ,SPY,QQQ,IWM
2026-05-25T18:00:00,,,,,,,,,1.164686679840088,158.88699340820312,6.783699989318848,,,,,,,77564.8203125,,,,16.59000015258789,,,,,,,,
2026-05-25T18:15:00,,,,,,,,,1.1645511388778689,158.89100646972656,6.783699989318848,,,,,,,77572.90625,,,,16.59000015258789,,,,,,,,
2026-05-25T18:30:00,,,,,,,,,1.1645511388778689,158.89700317382812,6.783699989318848,,,,,,,77554.0,,,,16.59000015258789,,,,,,,,
2026-05-25T18:45:00,,,,,,,,,1.164686679840088,158.8979949951172,6.783699989318848,,,,,,,77481.1015625,,,,16.59000015258789,,,,,,,,
2026-05-25T19:00:00,,,,,,,,,1.1645511388778689,158.90199279785156,6.783699989318848,,,,,,,77419.5625,,,,16.59000015258789,,,,,,,,
2026-05-25T19:15:00,,,,,,,,,1.164686679840088,158.89300537109375,6.783699989318848,,,,,,,77447.6171875,,,,16.59000015258789,,,,,,,,
2026-05-25T19:30:00,,,,,,,,,1.164686679840088,158.8979949951172,6.783699989318848,,,,,,,77340.2578125,,,,16.59000015258789,,,,,,,,
2026-05-25T19:45:00,,,,,,,,,1.1645511388778689,158.906005859375,6.783699989318848,,,,,,,77384.0,,,,16.59000015258789,,,,,,,,
2026-05-25T20:00:00,,,,,,,,,1.164686679840088,158.90699768066406,6.783699989318848,,,,,,,77382.453125,,,,16.59000015258789,,,,,,,,
2026-05-25T20:15:00,,,,,,,,,1.164686679840088,158.92100524902344,6.783699989318848,,,,,,,77360.4296875,,,,16.59000015258789,,,,,,,,
2026-05-25T20:30:00,,,,,,,,,1.1645511388778689,158.92799377441406,6.783699989318848,,,,,,,77191.09375,,,,16.59000015258789,,,,,,,,
